,software,categories
1152,Cloud Sync Data Synchronization,"['Cloud Migration', 'File Migration', 'On-Premise Data Integration', 'Data Replication']"
1153,CloudAlly G Suite Backup,"['Online Backup', 'SaaS Backup']"
1154,CloudAvocado Cost Optimization,['Cloud Cost Management']
1155,CloudCheckr CMx,"['Cloud Security Posture Management (CSPM)', 'Cloud Management Platforms', 'Cloud Compliance', 'Cloud Data Security', 'Cloud Cost Management', 'Enterprise IT Management']"
1156,CloudExtend Excel For NetSuite,['Spreadsheets']
1157,CloudExtend Excel for Salesforce,['Salesforce AppExchange Apps']
1158,CloudFactory,['Data Labeling Services']
1159,CloudGuard CNAPP,"['Cloud-Native Application Protection Platform (CNAPP)', 'Cloud Security Posture Management (CSPM)', 'API Security', 'Cloud Security Monitoring and Analytics', 'Cloud Compliance', 'Cloud Data Security', 'Container Security', 'Cloud Workload Protection Platforms', 'AWS Marketplace', 'Cloud Detection and Response (CDR)']"
1160,CloudHPT DRaaS,['Disaster Recovery as a Service (DRaaS)']
1161,CloudKeeper,"['Cloud Cost Management', 'Cloud Management Platforms']"
1162,CloudLead,"['Account Data Management', 'Sales Intelligence', 'Lead Scoring', 'Lead Intelligence', 'Marketing Account Intelligence']"
1163,CloudLinux 8 cPanel,['AWS Marketplace']
1164,CloudM Migrate,"['Email Archiving', 'File Migration', 'Cloud Migration']"
1165,CloudMasonry,"['Salesforce Consulting Services', 'HubSpot Consulting Services']"
1166,CloudMover,['AWS Marketplace']
1167,CloudNine Review,['eDiscovery']
1168,CloudNow Technologies,['IT Strategy Consulting']
1169,CloudOne,['Marketing Automation']
1170,CloudPay,['Multi-Country Payroll']
1171,CloudQuery,"['Cloud Security Posture Management (CSPM)', 'ETL Tools', 'Cloud Compliance']"
1172,CloudSDS,['Occupational Health and Safety (OHS)']
1173,CloudSpend,['Cloud Cost Management']
1174,CloudTask,"['Outsourced Sales Providers', 'Contact Center Outsourcing Services', 'Drift Consulting', 'Data Entry Services', 'Lead Generation Services', 'Managed Live Chat', 'Managed Services']"
1175,CloudZero,['Cloud Cost Management']
1176,Cloudback,"['SaaS Backup', 'Online Backup']"
1177,Cloudbolt Software,"['Enterprise IT Management', 'Cloud Management Platforms']"
1178,Cloudera,"['Big Data Processing and Distribution', 'Key Value Databases', 'Big Data Analytics', 'Data Warehouse', 'Big Data Integration Platforms']"
1179,Cloudera Analytic DB,['Relational Databases']
1180,Cloudera Data Engineering,['Data Science and Machine Learning Platforms']
1181,Cloudera Data Flow,"['Big Data Analytics', 'Stream Analytics']"
1182,Cloudera Data Platform,"['Machine Learning Data Catalog', 'Data Fabric']"
1183,Cloudera Data Science,['Relational Databases']
1184,"Cloudera, Inc.","['Amazon Web Services Channel Partners', 'IBM Consulting Services']"
1185,Cloudflare Zero Trust Services,['Zero Trust Networking']
1186,Cloudingo,"['Data Quality', 'Salesforce AppExchange Apps']"
1187,CloudsIntel,['Cloud Migration Assessment Tools']
1188,Cloudscene,"['Location Intelligence', 'Technology Scouting']"
1189,Cloudsfer,"['File Migration', 'Autodesk Construction Cloud Integration Partners', 'Cloud Migration']"
1190,CloverDX,"['ETL Tools', 'On-Premise Data Integration', 'Data Mapping']"
1191,Clumio,"['Backup Solution Suites', 'Database Backup', 'Online Backup', 'Server Backup', 'SaaS Backup']"
1192,ClusterControl,['Database Management Systems (DBMS)']
1193,Clutch.co,['B2B Services Review Platforms']
1194,Cluvio,"['Embedded Business Intelligence', 'Data Visualization']"
1195,CoCo,['Social Media Analytics']
1196,CoPilot,['Salesforce AppExchange Apps']
1197,CoPlot,['Other Analytics']
1198,CoStar Investment Analysis,['Real Estate Investment Management']
1199,CoachAccountable,['Coaching']
1200,Coaching For Excellence - C4X,['Mentoring']
1201,Cobalt,"['Crowd Testing Tools', 'Penetration Testing']"
1202,CocoPacket,['Network Monitoring']
1203,"CodeLogic, Inc.",['Other Analytics']
1204,CodeTogether,['Peer Code Review']
1205,CodeTwo Backup for Office 365,['SaaS Backup']
1206,Codeaid,['Technical Skills Screening']
1207,Codenvy,"['Java Integrated Development Environments (IDE)', 'Configuration Management', 'Python Integrated Development Environments (IDE)']"
1208,CodersRank for Business,['Other Recruiting']
1209,Coding Invaders by MentorsPro,['Technical Skills Development']
1210,Codleo,"['Cloud Consulting', 'Salesforce Consulting Services', 'HubSpot Consulting Services']"
1211,Coefficient,['Big Data Integration Platforms']
1212,Coeus Data Warehouse Management,['Data Warehouse']
1213,Coginiti,['Machine Learning Data Catalog']
1214,Cogit,"['Oracle Consulting Services', 'Microsoft Consulting Services', 'Infor Consulting Services']"
1215,Cognitive Twin,['Machine Learning']
1216,Cognizant,"['UKG Consulting Services', 'Braze Consulting Services', 'ServiceNow Consulting Services', 'AWS Consulting Services', 'Oracle Consulting Services', 'SAP Consulting Services', 'Microsoft Consulting Services', 'Business Process Management (BPM) Services', 'Robotic Process Automation (RPA) Consultancy Services', 'UKG Consulting', 'Twilio Consulting', 'IT Infrastructure Utility Services', 'Cloud Migration Services', 'IBM Security VARs', 'IBM Server VARs', 'Ruby on Rails Developers', 'iOS Developers', 'Cross-Platform Developers', 'Oracle Database Resellers', 'IT Infrastructure Consulting', 'Digital Transformation Consulting', 'Business Intelligence (BI) Consulting']"
1217,Coherent Path,"['Email Marketing', 'Personalization', 'Personalization Engines']"
1218,Cohesity Helios,"['Disaster Recovery', 'Server Backup', 'ServiceNow Store Apps', 'Online Backup', 'SaaS Backup']"
1219,Cohley,"['Content Distribution', 'Content Creation', 'User-Generated Content']"
1220,Colabo,"['Chatbots', 'Data Visualization', 'Personalization Engines']"
1221,Colaboratory for G Suite,['Google Workspace Development Tools']
1222,Coldlytics,"['Lead Mining', 'Lead Intelligence']"
1223,Collabio,['Cloud Content Collaboration']
1224,Collaboard,['Collaborative Whiteboard']
1225,Collaborate Space,['Video Conferencing']
1226,Collect,['Client Portal']
1227,Collect.chat,['Bot Platforms']
1228,Collectiv,"['Data Governance Services', 'Business Intelligence (BI) Consulting', 'Enterprise Performance Management (EPM) Consultants', 'Microsoft Consulting Services']"
1229,Collibra,"['SAP Store', 'Active Metadata Management', 'Sensitive Data Discovery', 'Privacy Impact Assessment (PIA)', 'Data Subject Access Request (DSAR)', 'Data Privacy Management', 'Data Governance', 'Machine Learning Data Catalog', 'Data Quality']"
1230,Colour Contrast Analyser (CCA),['Digital Accessibility Tools']
1231,Com Olho,['Click Fraud']
1232,Comarch EDI and e-Invoicing,"['Electronic Data Interchange (EDI)', 'AP Automation']"
1233,Comet Backup,"['Database Backup', 'Server Backup', 'Data Replication']"
1234,Comet Plug-in for Adobe¬Æ Illustrator¬Æ and SAP Commerce Cloud,['SAP Store']
1235,CommCare,['Data Management Platform (DMP)']
1236,Comments Analytics,"['Social Customer Service', 'Brand Intelligence', 'Text Analysis', 'Feedback Analytics']"
1237,Common Room,"['Online Community Management', 'Buyer Intent Data Providers', 'Lead Intelligence', 'Marketing Account Intelligence']"
1238,Commusoft,['Field Service Management']
1239,Commvault Cloud,"['Server Backup', 'Database Backup', 'File Recovery', 'SaaS Backup']"
1240,CompStak Enterprise,['Real Estate Investment Management']
1241,CompStak Prospect,['Property Intelligence']
1242,Comparably by ZoomInfo,['Job Search Sites']
1243,Compellon,['Predictive Analytics']
1244,Compleat Software,"['AP Automation', 'Supplier Relationship Management (SRM)', 'Purchasing', 'Invoice Management']"
1245,Compliance Manager GRC,"['Security Compliance', 'Data Governance', 'Healthcare Compliance', 'Business Continuity Management']"
1246,Compliance Star,"['Audit Management', 'Disclosure Management', 'Regulatory Change Management']"
1247,Comply365,['Course Authoring']
1248,ComplyCloud,"['Data Subject Access Request (DSAR)', 'Data Privacy Management', 'Data Breach Notification']"
1249,ComplyCube,"['Digital Customer Onboarding', 'Age Verification', 'Identity Verification', 'Address Verification', 'Anti Money Laundering', 'Reference Check', 'Biometric Authentication']"
1250,Composable DataOps Platform,"['Analytics Platforms', 'DataOps Platforms']"
1251,Compose Hosted PostgreSQL,"['Database as a Service (DBaaS)', 'Relational Databases']"
1252,CompuData,"['Sage Fixed Assets Resellers', 'Epicor Channel Partners', 'Sage 500 Resellers', 'Sage 100 Resellers', 'Sage Intacct Channel Partners', 'Cloud Consulting', 'Managed IT Services', 'ITSM Tool Implementation, Consulting, and Managed Services', 'Cybersecurity Consulting', 'Managed Security Services (MSSP)', 'Microsoft Consulting Services']"
1253,Compyl,"['Third Party \\u0026 Supplier Risk Management', 'Policy Management', 'Enterprise Risk Management (ERM)', 'Security Compliance']"
1254,ConWize Estimating and Bid management,"['Takeoff', 'Bid Management', 'Construction Estimating', 'Construction CRM']"
1255,Conciliac EDM,['SAP Store']
1256,Condens,['User Research Repositories']
1257,Condrey File Analysis \u0026 Data Management,['File Analysis']
1258,Conduit,['Yard Management']
1259,Coneix,['Project Management']
1260,Conektto,"['API Platforms', 'API Management', 'Build Automation', 'API Design']"
1261,Confirm,"['Employee Engagement', 'Performance Management']"
1262,Confluent,"['Event Stream Processing', 'Stream Analytics', 'Big Data Processing and Distribution', 'Big Data Analytics']"
1263,Conga CPQ,"['CPQ', 'Quote-to-Cash']"
1264,Conga Composer,"['Document Generation', 'Salesforce CRM Document Generation', 'Document Creation', 'Salesforce AppExchange Apps', 'Proposal']"
1265,Conga Contract Intelligence (formerly Contract Wrangler),"['Contract Analytics', 'Contract Management']"
1266,Conga Grid,"['Sales Analytics', 'Salesforce AppExchange Apps']"
1267,Connect ETL,['ETL Tools']
1268,ConnectALL,"['SAP Store', 'Value Stream Management', 'iPaaS', 'On-Premise Data Integration']"
1269,ConnectWise BCDR,"['SaaS Backup', 'Disaster Recovery']"
1270,ConnectWise Cybersecurity Management – SaaS,"['Cloud Security Monitoring and Analytics', 'Cloud Access Security Broker (CASB)', 'Threat Intelligence']"
1271,ConnectedSign Digital Signage Platform,['Digital Signage']
1272,Connectifier,['Recruiting Automation']
1273,Connectivity,['Online Reputation Management']
1274,Connectly.ai,"['Conversational Marketing', 'Push Notification', 'Chatbots', 'Communication Platform as a Service', 'Customer Communications Management', 'Social Customer Service', 'Mobile Marketing']"
1275,Connexity Shopping Ad Platform,"['Demand Side Platform (DSP)', 'Display Advertising']"
1276,Consent Kit,['Data Governance']
1277,Consider,['Recruiting Automation']
1278,Console Connect,['Data Center Networking']
1279,Console Gateway,['Property Management']
1280,Constella Intelligence API,['Dark Web Monitoring']
1281,Contact Finder,['Sales Intelligence']
1282,Contact Wolf,['Other Sales']
1283,ContactBoss,['Event Registration \\u0026 Ticketing']
1284,ContactDB,['Marketing Automation']
1285,ContactPigeon,"['Retail Intelligence', 'Email Template Builder', 'Direct Mail Automation', 'E-Commerce Personalization', 'Customer Journey Analytics', 'Marketing Automation', 'Landing Page Builders', 'Push Notification']"
1286,Content Compare,['Version Control Software']
1287,Conterra FIM,"['Invoice Management', 'AP Automation', 'Expense Management']"
1288,Contify,"['Web Data Providers', 'Competitive Intelligence', 'Market Intelligence', 'Media Monitoring']"
1289,Continuity Software,"['Vulnerability Scanner', 'Cloud Security Posture Management (CSPM)', 'Risk-Based Vulnerability Management']"
1290,Contlo,"['Email Template Builder', 'Personalization', 'E-Commerce Analytics', 'AI Writing Assistant', 'Push Notification', 'AI Sales Assistant', 'Conversational Marketing', 'Customer Data Platform (CDP)', 'E-Commerce Data Integration', 'Marketing Automation', 'SMS Marketing']"
1291,ContractZen,"['Virtual Data Room', 'Board Management', 'E-Signature', 'Contract Management', 'Meeting Management', 'Entity Management']"
1292,Control-M,"['Big Data Processing and Distribution', 'Workload Automation', 'Runbook Automation']"
1293,ControlHub,['Spend Management']
1294,Contruent Enterprise (formerly ARES PRISM),"['Earned Value Management', 'Capital Project Management', 'Project Cost Management', 'Project and Portfolio Management', 'On-Premise Data Integration', 'Construction Project Management']"
1295,ConvergeOne,"['Cisco Data Center Resellers', 'Cisco Unified Communications Resellers', 'Other Microsoft Resellers', 'Oracle Database Resellers']"
1296,Converged Cloud Fabric,"['Data Center Networking', 'Container Networking']"
1297,Conversus.AI,['Text Analysis']
1298,Convert Experiences,['A/B Testing']
1299,Convertedin,['Marketing Automation']
1300,Convertr,"['Lead Scoring', 'Customer Data Platform (CDP)', 'Data Quality', 'Lead Intelligence']"
1301,Convictional,"['Drop Shipping', 'Supplier Relationship Management (SRM)', 'Marketplace', 'Electronic Data Interchange (EDI)']"
1302,Cooby,['Sales Engagement']
1303,Cookie Compliance,['Cookie Tracking']
1304,Cookie Scanner,['Cookie Tracking']
1305,CookieYes,"['Consent Management Platform (CMP)', 'Cookie Tracking', 'Privacy Policy Generator']"
1306,Cooperate Marketing,['Through-Channel Marketing']
1307,Coosto,['Social Media Listening Tools']
1308,CopyStorm,"['Database Backup', 'Salesforce AppExchange Apps']"
1309,CopyWipe,['Data Destruction']
1310,Coralogix,"['Cloud Security Monitoring and Analytics', 'Network Traffic Analysis (NTA)', 'Cloud Infrastructure Monitoring', 'Container Monitoring', 'Log Analysis', 'Security Information and Event Management (SIEM)', 'Application Performance Monitoring (APM)', 'Network Monitoring', 'Enterprise Monitoring', 'IT Alerting', 'AIOps Platforms', 'Observability Solution Suites']"
1311,Cordial,"['Personalization Engines', 'Push Notification', 'Mobile Marketing', 'Marketing Automation']"
1312,Cordic,['Taxi \\u0026 Limousine']
1313,Core5,['Study Tools']
1314,CoreLogic Realist,['Property Intelligence']
1315,CorePlan,"['Mining', 'Exploration']"
1316,CoreSite,"['Data Center Infrastructure', 'Amazon Web Services Channel Partners', 'Oracle Channel Partners']"
1317,Corepoint Integration Engine,['Healthcare Integration Engines']
1318,Corevist,"['SAP Store', 'E-Commerce Platforms', 'Order Management']"
1319,Cornerstone HR,"['HR Service Delivery', 'HR Analytics', 'Core HR']"
1320,Corning Data,"['Oracle Cloud Application Resellers', 'Oracle Database Resellers', 'Other Oracle Resellers', 'Oracle JD Edwards EnterpriseOne Resellers']"
1321,Coro Cybersecurity,"['Insider Threat Management (ITM)', 'Malware Analysis Tools', 'Cloud Security Monitoring and Analytics', 'Cloud File Security', 'Cloud Compliance', 'Cloud Data Security', 'Cloud Email Security', 'Data Loss Prevention (DLP)', 'Network Access Control (NAC)', 'Endpoint Detection \\u0026 Response (EDR)', 'OT Secure Remote Access']"
1322,CoroPlus® Tool Library,['Computer-Aided Manufacturing (CAM)']
1323,CorralData,['Analytics Platforms']
1324,Corrata,['Mobile Data Security']
1325,Corrily Price Optimization,['Pricing']
1326,Cortera Pulse,['Financial Research']
1327,Cortex,['Other Analytics']
1328,Cortex Data Lake,['Cloud Data Security']
1329,Cortex Intel,['Energy Management']
1330,CortexDB,['Time Series Databases']
1331,Cotiviti,['Healthcare Analytics']
1332,Couch \u0026 Associates,"['Adobe Consulting Services', 'HubSpot Consulting Services', 'Salesforce Consulting Services', 'Marketing Automation Consulting', 'Marketing Strategy', 'Content Marketing Agencies']"
1333,CouchDB,"['Document Databases', 'Data Replication']"
1334,Couchbase,"['Document Databases', 'Key Value Databases']"
1335,Couchbase Capella,['Database as a Service (DBaaS)']
1336,Couchbase Mobile App Services,['IoT Connectivity Management']
1337,Count,['Data Visualization']
1338,CountBig,['Survey']
1339,Counterpoint,"['Retail Management Software', 'Retail POS']"
1340,Coupler.io,"['ETL Tools', 'Marketing Analytics', 'Data Extraction']"
1341,Course5 Discovery,"['Analytics Platforms', 'Embedded Business Intelligence', 'Predictive Analytics']"
1342,Covalence,"['Managed Detection and Response (MDR)', 'Endpoint Detection \\u0026 Response (EDR)', 'Extended Detection and Response (XDR) Platforms']"
1343,Cove Data Protection,"['Disaster Recovery', 'Online Backup', 'Server Backup', 'SaaS Backup', 'Disaster Recovery as a Service (DRaaS)', 'File Recovery', 'Backup Solution Suites']"
1344,CrawlNow,"['Market Research Services', 'Data Extraction Services']"
1345,CreateiQ,"['Contract Lifecycle Management (CLM)', 'Contract Management']"
1346,Creative Cloud,['Software Developer Services']
1347,CredentialStream,"['Health Care Credentialing', 'Provider Data Management (PDM)']"
1348,Credit Offers API,['Financial Data APIs']
1349,Credit Scoring,['Other Finance \\u0026 Admin.']
1350,Crescendo,['Microlearning Platforms']
1351,Crest,['Cross-Platform Developers']
1352,Crexendo,"['VoIP', 'UCaaS Platforms', 'Customer Communications Management']"
1353,Crexi,"['Brokerage Management', 'Real Estate Activities Management', 'Property Intelligence', 'Multiple Listing Service (MLS)']"
1354,Crisp Data Platform,"['Retail Analytics', 'Retail Intelligence']"
1355,CrossFTP,['File Transfer Protocol (FTP)']
1356,Crossbeam,"['Partner Management', 'Sales Intelligence', 'Partner Ecosystem Platforms', 'Data Clean Room']"
1357,Crosschq,"['Recruiting Automation', 'Reference Check', 'Talent Intelligence']"
1358,Crossfire,"['Electronic Data Interchange (EDI)', 'iPaaS', 'Message Queue (MQ)']"
1359,Crossplag,"['AI Content Detectors', 'Plagiarism Checker']"
1360,Crowd Signal,['Survey']
1361,CrowdSec,"['Security Orchestration, Automation, and Response (SOAR)', 'Intrusion Detection and Prevention Systems (IDPS)', 'Container Security', 'Endpoint Detection \\u0026 Response (EDR)', 'Threat Intelligence', 'Firewall Software']"
1362,CrowdStrike Security Services,['Penetration Testing Services']
1363,Crowdcast,['Video Conferencing']
1364,Crowdskout,['Political Campaign']
1365,CrunchMetrics,['Analytics Platforms']
1366,Crunchbase,"['Data Exchange Platforms', 'Marketing Account Intelligence', 'Market Intelligence', 'Sales Intelligence', 'Data as a Service (DaaS)']"
1367,Crunchy PostgreSQL for Kubernetes,['Database Management Systems (DBMS)']
1368,Crypto APIs,"['Blockchain as a Service', 'Blockchain Platforms']"
1369,CryptoQokka,['Financial Data APIs']
1370,CtrlS,['Infrastructure as a Service (IaaS)']
1371,Cube,"['Analytics Platforms', 'Embedded Business Intelligence']"
1372,Cube Analytics,['Analytics Platforms']
1373,CubeBackup,['SaaS Backup']
1374,CubiCasa,['Other Real Estate']
1375,CubiLock,"['Mobile Device Management (MDM)', 'Enterprise Mobility Management']"
1376,Cue,['Digital Adoption Platform']
1377,Cumulus,"['Data Center Networking', 'Container Networking']"
1378,Curve Hero,"['Dental Practice Management', 'Dental Imaging']"
1379,Custimy,['Customer Data Platform (CDP)']
1380,Custom Charts for Jira and Confluence Reporting,['Data Visualization']
1381,Customer Lockbox,['Data Subject Access Request (DSAR)']
1382,Customer.io,"['SMS Marketing', 'Personalization', 'Push Notification', 'Transactional Email', 'Mobile Marketing', 'Marketing Automation', 'Customer Data Platform (CDP)']"
1383,CustomerCount,['Enterprise Feedback Management']
1384,CustomerLabs CDP,"['E-Commerce Analytics', 'Identity Resolution', 'Session Replay', 'Tag Management Systems', 'Customer Data Platform (CDP)', 'Retargeting']"
1385,Customers.ai,"['SMS Marketing', 'Sales Engagement', 'Conversational Marketing', 'Chatbots', 'Lead Intelligence', 'Visitor Identification', 'Live Chat']"
1386,Custora,"['E-Commerce Analytics', 'Data Management Platform (DMP)']"
1387,CyLock,"['Multi-Factor Authentication (MFA)', 'Single Sign-On (SSO)']"
1388,Cyance,"['Buyer Intent Data Providers', 'Marketing Account Intelligence']"
1389,Cybba,"['Digital Advertising Tech', 'Email Marketing', 'Display Advertising', 'Retargeting', 'Data Management Platform (DMP)']"
1390,CybeReady Security Awareness Training Platform,['Security Awareness Training']
1391,Cyber Pop-up,['Cybersecurity Consulting']
1392,Cyber Security,['Managed Detection and Response (MDR)']
1393,Cyber adAPT,['Mobile Data Security']
1394,CyberFortress Data Recovery \u0026 Backup,"['PC Backup', 'Online Backup', 'Server Backup', 'SaaS Backup', 'Disaster Recovery as a Service (DRaaS)']"
1395,CyberGRX,"['Vendor Security and Privacy Assessment', 'Third Party \\u0026 Supplier Risk Management']"
1396,Cyberquery,"['Data Visualization', 'Embedded Business Intelligence']"
1397,Cyble,"['Threat Intelligence', 'Dark Web Monitoring']"
1398,Cybriant,"['Managed SIEM Services', 'Vulnerability Assessment Services', 'Network Security Services', 'Managed Security Services (MSSP)', 'IT Compliance Services', 'Incident Response Services', 'Endpoint Security Services', 'Data Security Services', 'Application Security Services', 'Cybersecurity Consulting']"
1399,Cyclops,['Retail Analytics']
1400,Cyfe,"['Social Media Listening Tools', 'Data Visualization']"
1401,CylanceGATEWAY,"['Secure Web Gateways', 'Mobile Data Security']"
1402,Cyndx,"['Equity Management', 'Financial Research', 'M\\u0026A Software']"
1403,Cypris Market Intelligence,['Market Intelligence']
1404,Cyscale Cloud Platform,"['Cloud Security Posture Management (CSPM)', 'Cloud Compliance', 'Cloud Data Security', 'Cloud Security Monitoring and Analytics']"
1405,Cytobank,['Scientific Data Management System (SDMS)']
1406,D3 Incident Management,['Investigation Management']
1407,D3js,['JavaScript Web Frameworks']
1408,DATABASICS Time \u0026 Expense,"['Time Tracking', 'Expense Management']"
1409,DATABASICS Vendor Invoice Management,['Invoice Management']
1410,DATATRAK ONE Unified Experience,"['Clinical Trial Management Systems', 'Electronic Data Capture (EDC)']"
1411,DATAVISION Electronic Sign In,['Patient Intake']
1412,DATOS,['Data Exchange Platforms']
1413,DATPROF Privacy,"['Synthetic Data', 'Data Masking']"
1414,DAVO Sales Tax,['Sales Tax and VAT Compliance']
1415,DBMoto,"['ETL Tools', 'Data Replication']"
1416,DBSync Cloud Replication,"['Data Replication', 'Database Backup', 'SaaS Backup']"
1417,DBeaver,"['Database Management Systems (DBMS)', 'SQL Integrated Development Environments (IDE)']"
1418,DBmaestro DevOps Platform,"['DevOps Platforms', 'Business Activity Monitoring', 'Application Release Orchestration', 'Build Automation', 'Version Control Software', 'Database DevOps Software']"
1419,DCKAP Integrator,"['E-Commerce Data Integration', 'iPaaS', 'API Management', 'SAP Store']"
1420,DCKAP PIM,"['Product Information Management (PIM)', 'SAP Store']"
1421,DEON,"['Collaborative Whiteboard', 'Visual Collaboration Platforms']"
1422,DESelect,['Salesforce AppExchange Apps']
1423,DG Portal,['Employee Intranet']
1424,DG Solution Builder,['No-Code Development Platforms']
1425,DIAdem,['Big Data Analytics']
1426,DICE Central Station,"['Security Information and Event Management (SIEM)', 'Physical Security']"
1427,DIGIDECK,['Presentation']
1428,DNIF HYPERCLOUD,"['Security Orchestration, Automation, and Response (SOAR)', 'User and Entity Behavior Analytics (UEBA)', 'Security Information and Event Management (SIEM)']"
1429,DNSSense DNSEye,['DNS Security Solutions']
1430,DPOinBOX,['Data Privacy Management']
1431,DPOrganizer,"['Data Breach Notification', 'Data Subject Access Request (DSAR)', 'Data Privacy Management', 'Regulatory Change Management']"
1432,DQ for Dynamics,['Data Quality']
1433,DQE One,"['Data Quality', 'Email Verification', 'Salesforce AppExchange Apps', 'Address Verification']"
1434,DQLabs,"['Machine Learning Data Catalog', 'Master Data Management (MDM)', 'Data Quality', 'Data Observability']"
1435,DRS Office 365 Email Backup Tool,['PC Backup']
1436,DRaaS for Oracle,"['Disaster Recovery as a Service (DRaaS)', 'Data Replication']"
1437,DSI Mobile Enterprise Platform,['SAP Store']
1438,DTSMS - Drug Testing Software Management Suite,['Drug Testing']
1439,DWGSee,['CAD Viewers']
1440,D\u0026B Connect,"['Visitor Identification', 'Lead-to-Account Matching and Routing', 'Data Governance', 'Email Verification', 'Marketing Account Intelligence', 'Lead Intelligence', 'Data Quality', 'Salesforce AppExchange Apps', 'Sales Intelligence']"
1441,D\u0026B Rev.Up ABX,"['Lead-to-Account Matching and Routing', 'Buyer Intent Data Providers', 'Customer Data Platform (CDP)', 'Account Data Management', 'Lead Scoring', 'Visitor Identification', 'Personalization', 'Marketing Account Intelligence', 'Account-Based Analytics', 'Account-Based Web and Content Experiences', 'Account-Based Advertising', 'Account-Based Orchestration Platforms', 'Sales Intelligence']"
1442,DaDaBIK,['Low-Code Development Platforms']
1443,DaXtra Magnet,['Other Recruiting']
1444,DaXtra Parser,['Other Recruiting']
1445,Dacima Clinical Suite,['Electronic Data Capture (EDC)']
1446,Dash,"['Embedded Business Intelligence', 'Analytics Platforms', 'Predictive Analytics', 'Big Data Analytics', 'Data Science and Machine Learning Platforms']"
1447,DashO – App Protection for Android \u0026 Java,"['Application Shielding', 'Runtime Application Self-Protection (RASP)', 'Mobile Data Security']"
1448,DashThis,"['Data Visualization', 'Marketing Analytics']"
1449,Dashboard Hub for Jira,['Analytics Platforms']
1450,DashboardFox,['Data Visualization']
1451,DashboardPack,['Data Visualization']
1452,Dashbot,"['Other Analytics', 'Genesys AppFoundry Marketplace']"
1453,Dashlane,"['Password Manager', 'Single Sign-On (SSO)']"
1454,Dashly,"['Conversational Marketing', 'Marketing Automation']"
1455,Dashpivot,"['Punch List', 'Construction Project Management']"
1456,Data 8 Data Quality Solutions,"['Data Quality', 'Address Verification']"
1457,Data Archive Manager,"['Email Archiving', 'Enterprise Information Archiving']"
1458,Data Axle Apogee,['Donor Prospect Research']
1459,Data Axle Consumer Data,['Market Intelligence']
1460,Data Axle Inboxable,"['Email Deliverability', 'Email Marketing']"
1461,Data Axle Reference Solutions,['Market Intelligence']
1462,Data Axle USA,"['Digital Marketing', 'Lead Generation Services']"
1463,Data Catalog API,['Financial Data APIs']
1464,Data Center Virtualization and Cloud Infrastructure,['Other Product Suites']
1465,Data Deduplication Tool,['Data Quality']
1466,Data Deposit Box,['Online Backup']
1467,Data Dwell Sales Enablement,['Sales Enablement']
1468,Data Impact,['Other Analytics']
1469,Data Intelligence Solutions from Blackbaud,['Nonprofit Consulting']
1470,Data Leaders,['Data Exchange Platforms']
1471,Data Leak Monitoring,['Insider Threat Management (ITM)']
1472,Data Migration Services - Relokia,['Cloud Migration Services']
1473,Data Privacy Manager,"['Data Privacy Management', 'Data Subject Access Request (DSAR)']"
1474,Data Processing,['Other B2B Services']
1475,Data Protection Management Solution,['Data Subject Access Request (DSAR)']
1476,Data Quality Analysis Dashboards,['Salesforce AppExchange Apps']
1477,Data Recovery Software,['File Recovery']
1478,Data Secure,['Data Masking']
1479,Data Sense,['Other Analytics']
1480,Data Solver,"['Privacy Impact Assessment (PIA)', 'Data Subject Access Request (DSAR)', 'Data Privacy Management', 'Data Breach Notification']"
1481,Data Stream,['Retargeting']
1482,Data Sutram,['Location Intelligence']
1483,Data Toolbar,['Other Analytics']
1484,Data Viewer,['Data Visualization']
1485,Data Virtuality,"['Data Replication', 'Data Virtualization', 'Big Data Integration Platforms', 'ETL Tools', 'On-Premise Data Integration', 'Data Warehouse', 'Customer Data Platform (CDP)']"
1486,Data Zoo,"['Identity Verification', 'Anti Money Laundering']"
1487,Data#3,['Adobe Channel Partners']
1488,Data+ Research,"['Other Health Care Operations', 'Other Life Sciences', 'Other Laboratory']"
1489,Data2CRM.Migration,['Cloud Migration Services']
1490,DataArt,"['Google Consulting Services', 'AWS Consulting Services']"
1491,DataBees,"['Lead Generation Services', 'Data Entry Services']"
1492,DataBlend,"['iPaaS', 'ETL Tools']"
1493,DataCAD,['Building Design and Building Information Modeling (BIM)']
1494,DataCamp,"['Online Learning Platform', 'Online Course Providers', 'eLearning Content', 'Technical Skills Development']"
1495,DataCaptive,['Digital Marketing']
1496,DataChannel,"['Reverse ETL', 'Data Extraction', 'E-Commerce Data Integration', 'ETL Tools']"
1497,DataCore Software-Defined Storage,"['Block Storage', 'Hyperconverged Infrastructure (HCI) Solutions']"
1498,DataCurrent,['Data Virtualization']
1499,DataDocks,"['Demand Planning', 'Yard Management']"
1500,DataDome,"['Bot Detection and Mitigation', 'Fraud Detection', 'Cloud DDoS Mitigation', 'DDoS Protection']"
1501,DataEdge,['Big Data Integration Platforms']
1502,DataFeedWatch by Cart.com,"['E-Commerce Analytics', 'Multichannel Retail', 'Online Marketplace Optimization Tools']"
1503,DataForma,"['Jobsite Management', 'HVAC', 'Property Restoration', 'Roofing']"
1504,DataFox,"['Account Data Management', 'Lead Scoring', 'Sales Intelligence', 'Marketing Account Intelligence']"
1505,DataGPT,['Analytics Platforms']
